client_id,age,income,balance,nb_transactions_last_month,default_history,fraud_flag,churn_risk,customer_since,last_interaction,text_interaction
94,54,45376.55,5194.42,56,0,0,0.302,2021-01-14,2025-11-02,Suffer receive case decide least full war ready blue statement present role speak.
95,61,53818.44,2415.9,21,0,0,0.452,2016-12-03,2025-11-03,Simple want investment budget character cup phone item difference push even guy.
96,52,38278.57,3843.44,85,0,1,0.601,2022-08-24,2025-11-22,Room heavy tend number organization test third little all begin cost.
97,82,32061.84,8727.01,93,0,0,0.156,2023-03-27,2025-11-01,Run collection air full along wind suddenly effort peace tax book.
98,64,19105.16,8021.96,57,0,0,0.433,2020-04-02,2025-11-01,Practice have owner brother way rate think yard if stuff.
99,20,36858.62,11136.59,90,0,0,0.566,2017-03-19,2025-11-10,Here after style feel thought study exist.
100,18,55521.51,12153.88,90,1,0,0.51,2017-05-09,2025-11-09,Enjoy however job they there become color space blood quite must.
101,22,27903.04,-1426.02,12,0,0,0.575,2017-09-08,2025-11-15,Student model method safe security spring product mission.
102,31,45700.17,5594.63,38,0,0,0.662,2023-04-13,2025-11-25,Notice head everybody as house decade man whole take cause go set area Congress understand something.
103,44,40153.35,9061.17,26,0,0,0.379,2024-01-08,2025-10-31,Participant each sometimes material ago consumer for particularly able consider than do spend clearly.
104,26,32689.23,13575.89,38,0,0,0.064,2025-04-15,2025-11-28,Even help data inside real quality seek summer material sometimes another.
105,32,14204.4,7733.1,101,0,0,0.056,2020-03-21,2025-11-27,Tree scene mention trouble sign statement blue rather suffer someone Mr this.
106,59,62442.82,14827.26,71,0,0,0.859,2024-03-23,2025-11-23,Name kind enjoy boy get six feel.
107,68,49757.86,10756.9,11,0,0,0.677,2019-07-24,2025-11-01,Fact recent range country one professor use simply single water identify low store newspaper thought mother.
108,80,81979.32,9903.88,23,0,0,0.764,2017-11-15,2025-11-19,Phone wish left way find carry others citizen.
109,69,58191.2,7448.88,17,0,0,0.929,2021-12-30,2025-11-18,Act address few foreign mention much series play alone decision next let entire north pretty.
110,21,62108.16,7876.95,118,0,0,0.751,2016-12-26,2025-11-01,Animal physical page administration perform which camera.
111,40,15759.69,9653.91,14,0,0,0.692,2021-03-16,2025-11-20,Line exist should street generation gun you court answer.
112,32,15497.47,7023.1,59,0,0,0.656,2024-12-11,2025-11-11,Customer boy factor make four choose wall.
113,60,42634.68,13562.81,15,0,0,0.259,2021-08-31,2025-11-14,Section of together network nature your human able such occur rule something.
114,46,24778.27,12397.89,96,0,0,0.957,2019-02-10,2025-11-05,Realize subject prove anything stop ground left production drive.
115,53,31780.7,13989.97,73,0,0,0.542,2025-09-30,2025-11-17,Bed cause child treat strong always culture discuss position purpose issue pretty.
116,30,79893.96,2800.51,46,0,0,0.222,2020-02-17,2025-11-16,Clearly data above discover citizen feel with moment quality series have.
117,49,59848.14,2636.29,23,0,0,0.21,2017-02-24,2025-11-06,Explain hotel hospital check amount stage identify budget writer south walk probably shoulder.
118,76,,10439.52,44,0,0,0.815,2019-02-21,2025-11-24,Address manager page budget class majority hope kitchen sense include drive.
119,45,6508.19,7596.92,18,1,0,0.25,2025-08-17,2025-11-18,Hundred better hotel total hold news color machine social back star opportunity table may instead.
120,83,26700.94,9294.2,90,1,0,0.041,2023-02-03,2025-11-15,Throughout chance believe majority occur recognize easy close child do respond although threat one.
121,59,33642.08,2412.9,108,0,0,0.428,2021-02-03,2025-11-20,Bill list relate maybe hear dream public.
122,62,37181.04,,40,1,0,0.817,2023-11-02,2025-11-15,Light tax growth space young forget attention but guy camera behavior.
123,79,22814.31,9162.9,30,0,0,0.414,2025-02-14,2025-11-06,Care now me staff fine themselves table attention skill different population look weight team value.
124,74,58947.76,4200.58,84,0,0,0.804,2020-06-02,2025-10-31,Set here audience include public hand foot answer top.
125,23,31328.09,11570.53,15,0,0,0.827,2022-07-06,2025-10-30,Light doctor treatment guess guess radio few themselves red participant understand professor specific cost.
126,45,51728.67,4923.14,22,0,0,0.858,2022-10-01,2025-11-22,Me which fast character real choice consumer cut family whatever travel garden commercial these growth remember.
127,45,42808.31,3562.64,77,0,0,0.589,2020-07-02,2025-11-10,So direction he eye tree five a plant sport again whose herself the church.
128,61,56077.16,-3333.26,22,0,0,0.699,2021-11-21,2025-11-06,Improve mind green discuss require bad light.
129,47,38431.2,14237.73,40,0,0,0.262,2017-12-07,2025-11-27,Interest car set technology whatever other to thing.
130,79,28125.2,11487.75,17,0,0,0.1,2016-01-11,2025-11-23,Laugh establish southern rate ago finally black each prevent vote visit civil six him travel seek.
131,79,33021.19,521.51,35,0,0,0.533,2024-12-04,2025-11-05,Build be other sound produce break song.
132,18,33232.72,-1987.28,11,0,0,0.011,2023-07-26,2025-11-26,Executive hundred process agency big large commercial movement treatment under increase week arm.
133,44,72968.26,5014.62,119,1,0,0.466,2022-11-28,2025-11-21,Recognize change far manager crime both approach thousand whole court test administration concern.
134,79,43147.58,12736.61,100,0,0,0.102,2023-05-19,2025-11-24,Process probably land third fund meeting lead design one their scene away toward material south analysis.
135,20,42069.49,5364.58,74,0,0,0.108,2022-04-06,2025-11-17,Huge me school both view determine management range source respond civil value model blood ask pay.
136,44,55230.4,6964.42,68,0,0,0.871,2024-06-17,2025-11-14,Painting event senior lot strong smile almost page once cause.
137,26,41998.95,12952.93,50,0,0,0.641,2024-10-11,2025-11-16,
138,79,58825.14,3058.66,84,1,0,0.645,2023-03-01,2025-11-09,Century hand itself success loss focus minute person total financial hit significant claim idea down well.
139,54,36418.83,4589.42,31,0,0,0.404,2019-11-25,2025-11-05,Ground visit although rest bag play others recent production.
140,68,34895.4,9097.93,92,0,0,0.413,2019-09-18,2025-11-06,Need those with wide into our unit while leave price beyond use method.
141,61,27295.9,6599.04,70,0,0,0.303,2023-10-14,2025-11-16,Protect strong realize manage rich region woman process leave policy measure thus night need.
142,41,69750.71,3614.04,35,1,0,0.434,2016-02-26,2025-11-28,Law purpose instead out actually put audience soldier lawyer heavy news include health.
143,76,40952.63,11536.25,39,1,0,0.587,2019-04-10,2025-11-04,Week lot wear notice wait former save mean small.
144,49,24389.36,10589.19,90,0,0,0.187,2023-09-03,2025-11-09,Manager financial nice walk section science line.
145,69,44952.41,12160.89,69,0,0,0.262,2017-11-30,2025-11-25,Military back bank somebody something discussion social forward yourself.
146,79,32249.19,7233.49,37,0,0,0.495,2023-03-18,2025-11-26,Least must represent generation one focus opportunity last about defense.
147,75,36155.98,-804.44,53,0,0,0.385,2020-10-07,2025-11-10,Chance friend garden page generation amount behavior woman realize many grow crime see since operation.
148,69,46661.3,8053.77,3,0,0,0.819,2023-02-16,2025-11-12,Door employee down thus address analysis method.
149,29,64814.78,2141.01,45,0,0,0.822,2024-11-11,2025-11-12,Mouth remember project to international top late boy democratic trade quality.
150,56,43523.78,-2134.62,62,0,1,0.336,2025-08-17,2025-11-13,My goal discussion thought guess red way customer green.
151,19,31334.45,6626.43,98,1,0,0.451,2019-12-16,2025-11-04,Create site thought project player dog cost join detail learn firm.
152,20,34426.28,8508.81,73,0,0,0.977,2024-08-10,2025-11-02,Drop within student area without first charge thank second skill recognize.
153,73,51846.71,15991.39,117,0,0,0.827,2021-05-18,2025-11-19,Open available nearly administration toward back single arm cultural fight million doctor great wish.
154,76,12624.89,1971.98,101,0,0,0.216,2018-01-25,2025-11-07,Fight create should and investment top middle reflect others may whose school success whom suggest seven.
155,19,26359.77,11385.27,49,0,0,0.28,2020-10-15,2025-11-13,Over summer success admit adult already daughter sure.
156,19,45189.69,5.41,29,0,0,0.083,2018-06-15,2025-11-17,Sport wide find consumer cup hear model mention speak sport friend animal realize structure inside new.
157,71,16399.96,14350.56,105,1,0,0.678,2025-07-28,2025-11-07,Each skin offer boy fast who much military floor hotel behavior democratic firm.
158,18,37312.23,4496.77,72,0,0,0.317,2020-07-20,2025-11-15,Agent staff better where authority election dog visit everybody moment pull.
159,36,34826.02,6325.84,15,0,0,0.537,2018-10-10,2025-11-10,The so structure rather various seek material human wonder.
160,19,55161.73,6389.9,51,0,0,0.768,2021-07-07,2025-11-20,Half discover investment have bring available hard in news stand use sit show behavior their.
161,70,38245.77,11794.79,3,0,0,0.836,2024-07-07,2025-11-25,Day kind national pay but course public her color.
162,61,59800.37,747.63,25,0,0,0.325,2022-11-30,2025-11-10,Trade next instead year score eight go.
163,49,43183.1,7112.97,28,0,0,0.237,2023-09-12,2025-10-31,Clearly where staff note general offer building baby collection.
164,49,68646.77,4793.43,91,0,1,0.849,2021-10-17,2025-11-21,Require will town tell treatment left former dog commercial reflect production set agreement maintain.
165,72,21187.67,18990.24,10,0,0,0.381,2017-11-24,2025-11-27,Republican start college agency win television read.
166,73,66256.9,2575.11,91,0,0,0.822,2020-09-29,2025-11-20,Middle marriage serious war author professional their.
167,34,35833.09,-4910.32,107,1,0,0.15,2017-03-03,2025-11-01,Across fund moment return front office control theory year local media national stay type pretty church.
168,55,64109.25,16472.98,95,0,0,0.912,2022-05-14,2025-11-22,Weight different staff most professor summer food air cup activity.
169,41,59778.52,10456.7,23,0,0,0.483,2018-11-23,2025-11-05,Financial you ahead pretty rock image watch next quickly role simple cut.
170,28,-778.62,4063.13,50,0,0,0.17,2019-12-25,2025-11-18,Office thus during like fly move bad agree hear the leg.
171,33,49187.52,7838.95,41,0,0,0.535,2016-11-28,2025-11-09,Feel quality institution letter never myself although end your push street by.
172,76,56964.3,3995.03,38,0,0,0.87,2025-04-04,2025-11-14,Wear little occur benefit myself arm out significant wall seek with.
173,20,61928.89,-1784.99,6,0,0,0.389,2021-04-28,2025-11-08,Store expert local right run art office PM Mr.
174,37,24350.44,7178.63,17,1,0,0.178,2021-06-28,2025-11-02,Mission seat it boy then growth through floor and new.
175,76,50855.14,7142.82,2,1,0,0.577,2021-11-19,2025-11-24,Yeah society administration produce hour measure put including relationship accept education yard teacher parent put traditional.
176,53,44926.11,9696.74,62,0,0,0.834,2016-09-23,2025-11-04,Draw red article six himself buy voice throw set difficult keep gun though special surface imagine.
177,36,48471.13,3135.02,107,0,0,0.121,2020-10-04,2025-11-18,Alone eight in instead another study leg wind international structure fire.
178,84,56984.05,4126.36,109,0,0,0.041,2020-09-02,2025-11-27,Man keep someone along kitchen including throw.
179,36,59350.65,6117.17,19,0,0,0.056,2024-08-01,2025-11-03,Peace air less left find plan thing.
180,37,32163.86,3095.76,97,0,0,0.23,2023-11-16,2025-11-11,Next ask quite need station north middle nature modern nation idea center base.
181,69,45981.29,13683.82,93,0,0,0.007,2019-01-30,2025-11-07,Democrat television kind stuff media staff argue support technology film final late quite since.
182,50,42617.03,12245.61,72,0,0,0.429,2017-03-25,2025-11-23,Catch citizen reflect line easy pay street work magazine step public capital sit through international.
183,57,38409.71,5420.58,73,0,0,0.698,2023-12-06,2025-10-31,Allow PM spend spend from she behavior break seat my film oil.
184,56,39843.37,10672.92,69,0,0,0.71,2025-01-12,2025-11-08,Mother reflect support another summer project hear instead interview.
185,18,44939.81,1808.57,16,0,0,0.637,2018-05-10,2025-10-30,Decide present summer debate new day key eat reality assume look without another west certain that.
186,28,32970.28,5693.24,78,0,0,0.296,2019-06-14,2025-11-04,Various pass turn enjoy painting before teach.
187,74,55245.55,15317.89,96,0,0,0.736,2017-08-15,2025-11-14,Approach significant government discover report yet story dinner around candidate feeling nearly cold speech.
188,67,61039.62,11229.37,119,0,0,0.576,2018-01-26,2025-11-15,Nice yet record wonder price college sort security performance yes gun surface administration wish.
189,40,29691.35,9445.41,58,0,0,0.861,2019-05-20,2025-11-07,Trial parent mouth admit arm day leader beyond stuff beautiful.
190,48,61774.95,6207.26,53,0,0,0.478,2018-07-28,2025-11-24,Either organization easy one cover cut light seek.
191,59,29719.6,7790.31,12,0,0,0.18,2024-08-01,2025-11-18,Decide budget baby forward ago guy other if foot.
192,24,55466.8,658.06,41,0,0,0.635,2025-06-22,2025-11-16,Own our investment range now others matter school off able environmental glass system record.
193,33,61747.18,6383.06,43,0,0,0.151,2020-03-19,2025-11-12,Bring green deep party however give discover right recognize line themselves.
194,77,40582.34,9880.16,118,0,0,0.963,2020-11-21,2025-11-26,Level agency city fall degree message special international final one western.
195,19,29842.53,7867.89,85,0,0,0.703,2022-05-20,2025-11-21,Find from long today recently next against range rule act wind carry kind newspaper cup admit.
196,18,33169.76,7867.93,79,0,0,0.756,2025-11-28,2025-11-14,Per to thing somebody vote or major speech apply.
197,65,47427.85,4728.02,97,0,0,0.679,2018-06-25,2025-11-22,Back mouth song politics education traditional current step true first term hundred.
198,29,71469.82,3461.26,66,0,0,0.098,2022-09-09,2025-11-12,Letter security be table mind after painting meet.
199,54,16609.01,3003.87,71,0,0,0.465,2021-11-22,2025-11-17,Show kitchen quality report foreign Mr approach.
200,49,43503.63,6740.6,19,0,0,0.651,2023-11-28,2025-11-24,Yard from perhaps always special song consumer customer money source.
201,26,40678.92,11671.22,46,0,0,0.229,2025-06-27,2025-11-24,Source window feeling religious war general rather main range light.
202,36,35152.17,,23,0,0,0.68,2023-04-20,2025-11-03,Effort safe bad art trouble claim movement computer term yes grow part house pretty information.
203,65,,8203.81,50,0,0,0.82,2022-09-07,2025-11-12,Provide hand market finally executive though PM enter impact enjoy.
204,20,33867.05,8077.4,17,0,0,0.275,2017-08-21,2025-11-19,Fall themselves difficult because state specific interesting million media white customer capital look step project.
205,37,60647.33,12650.65,22,0,0,0.2,2021-03-13,2025-11-11,Meet security similar staff whose force best side various create fish family state prove receive fall.
206,41,62137.41,8066.91,0,0,0,0.883,2025-03-21,2025-11-07,Fill operation paper ball leg happy budget direction right subject identify movement exist hair future there.
207,71,43322.03,560.75,114,0,0,0.005,2017-11-20,2025-11-26,Assume cost those fill guy none food expert too simple.
208,50,39882.82,18624.39,65,0,0,0.256,2019-02-19,2025-11-25,Why camera far hit when method score newspaper far because project.
209,41,34604.45,12858.45,4,0,0,0.407,2019-05-13,2025-11-20,Moment business behavior together usually about suffer true buy tend.
210,53,43354.22,10415.95,17,0,0,0.672,2016-09-07,2025-11-08,Among capital important development article decide position resource they from war green red ability.
211,55,69717.47,5122.52,79,0,0,0.997,2017-04-21,2025-11-18,For message into really Congress nothing care several me whole.
212,42,40443.99,6405.35,73,0,0,0.371,2016-10-18,2025-11-01,Year sit name but me step cut call campaign do page eat grow.
213,35,29408.51,888.06,116,1,0,0.949,2021-05-06,2025-11-08,View move rich turn poor dog Congress know itself great southern give television.
214,83,36033.57,6331.33,92,0,0,0.367,2016-10-05,2025-10-30,Hear husband toward box look price worker beyond agree hour language couple bank month arrive.
215,71,53302.05,8878.48,34,0,0,0.696,2019-12-01,2025-11-17,Else former short reach draw listen could term early.
216,52,31233.95,,24,0,0,0.165,2018-03-06,2025-11-12,Manage Mrs this four benefit crime agree environment task able.
217,78,41494.41,,105,0,0,0.46,2017-06-05,2025-11-22,Prove eye day dog sister from discuss food board community a business year keep growth decade.
218,58,49093.25,11354.93,23,1,0,0.871,2016-06-04,2025-10-31,White mother entire any daughter tree control tax always service her call world nation admit beat.
219,50,32372.06,12868.01,12,0,0,0.32,2016-06-30,2025-11-23,Unit machine name anyone yard her become project check tough order ok.
220,50,15533.91,10700.83,20,0,0,0.105,2025-10-12,2025-11-22,Agency visit home keep break scientist seat yeah parent consumer choice power hour receive.
221,31,25929.22,8813.19,105,0,0,0.523,2023-04-12,2025-11-25,Use night improve do just bill hospital responsibility face task drug continue home perhaps bar hard.
222,38,29118.5,10274.07,106,0,0,0.44,2020-08-24,2025-10-30,Most view choose cold budget national east tonight serious business fund wear enter.
223,65,38567.59,-1920.63,38,1,0,0.23,2017-11-23,2025-10-31,Improve involve buy small assume dinner amount.
224,37,42664.49,,33,0,0,0.906,2024-04-28,2025-11-19,Example between white career daughter among level.
225,25,54355.52,1011.15,18,0,0,0.602,2021-01-21,2025-11-12,Claim popular ten near true agree ready service spend area right activity stop this plant.
226,24,23591.16,2100.26,27,0,0,0.347,2018-08-13,2025-11-06,Wall modern car improve market material court language this mind.
227,84,52174.3,13968.11,90,0,0,0.996,2023-08-06,2025-11-16,Talk fall surface social front scene people water.
228,34,36436.15,2617.29,113,0,0,0.138,2019-11-21,2025-11-23,Sell form improve book act front go new.
229,50,15216.79,1381.72,89,0,0,0.848,2023-09-16,2025-11-04,Face agreement TV bed take many perhaps wife none without produce story get a report.
230,65,42203.6,9947.9,10,0,0,0.231,2019-01-06,2025-11-03,Order decide year list medical tax very vote leave help office pull community fact change.
231,76,61744.01,7656.6,48,0,0,0.24,2016-11-05,2025-11-03,Television statement better they late although child with product.
232,39,55246.72,10231.32,34,0,0,0.498,2021-05-21,2025-10-30,Character life specific piece fight soon apply.
233,47,40855.94,16779.53,83,0,0,0.662,2025-07-12,2025-11-28,Left those hospital son blue class walk high left defense.
